date,region,category,traffic,conversion_rate,orders,avg_order_value,gross_revenue,marketing_spend,return_rate,refunds,net_revenue,margin_pct,gross_margin,roas,cac_proxy,seasonality_index
2023-01-02,Asia Pacific,Apparel,4548,0.0301,136,73.71,10024.07,3078.6,0.107,1072.5,8951.57,0.3594,138.5,3.2561,22.6368,0.66
2023-01-02,Asia Pacific,Electronics,6183,0.0264,163,235.36,38363.83,4129.4,0.1118,4289.73,34074.1,0.3736,8599.31,9.2904,25.3337,0.66
2023-01-02,Asia Pacific,Health & Beauty,3070,0.0352,108,62.84,6786.82,2108.9,0.0954,647.52,6139.29,0.3891,279.81,3.2182,19.5268,0.66
2023-01-02,Asia Pacific,Home & Garden,3797,0.0281,106,90.9,9634.89,2513.88,0.0924,890.34,8744.55,0.3832,836.74,3.8327,23.7158,0.66
2023-01-02,Asia Pacific,Sports & Outdoors,3367,0.0391,131,87.66,11483.39,2799.97,0.0845,970.55,10512.84,0.4081,1490.67,4.1012,21.3739,0.66
2023-01-02,Europe,Apparel,5133,0.031,159,70.59,11224.01,3937.1,0.0937,1051.76,10172.25,0.3711,-162.0,2.8508,24.7616,0.66
2023-01-02,Europe,Electronics,7950,0.0353,280,238.44,66762.39,5498.1,0.103,6877.27,59885.12,0.3695,16627.65,12.1428,19.6361,0.66
2023-01-02,Europe,Health & Beauty,3608,0.0341,123,59.25,7288.06,3034.21,0.0962,701.46,6586.61,0.3546,-698.72,2.402,24.6684,0.66
2023-01-02,Europe,Home & Garden,5834,0.0336,195,89.16,17386.56,3328.88,0.0958,1665.25,15721.31,0.3724,2525.59,5.2229,17.0712,0.66
2023-01-02,Europe,Sports & Outdoors,4996,0.0181,90,90.78,8170.47,3152.9,0.0712,581.74,7588.73,0.3889,-201.47,2.5914,35.0322,0.66
2023-01-02,Latin America,Apparel,2667,0.031,82,75.57,6196.43,1898.84,0.1015,628.87,5567.56,0.3659,138.12,3.2633,23.1566,0.66
2023-01-02,Latin America,Electronics,3862,0.0356,137,247.59,33919.3,2375.46,0.1111,3767.91,30151.4,0.3787,9041.66,14.279,17.3392,0.66
2023-01-02,Latin America,Health & Beauty,1981,0.0331,65,64.09,4165.61,1356.07,0.0966,402.49,3763.12,0.3459,-54.39,3.0718,20.8626,0.66
2023-01-02,Latin America,Home & Garden,2216,0.027,59,93.7,5528.44,1810.46,0.1013,559.81,4968.63,0.385,102.28,3.0536,30.6858,0.66
2023-01-02,Latin America,Sports & Outdoors,2116,0.0278,58,87.75,5089.72,1782.7,0.0872,443.74,4645.98,0.3709,-59.5,2.8551,30.7362,0.66
2023-01-02,North America,Apparel,7905,0.0268,211,67.2,14178.56,5862.36,0.1284,1820.45,12358.11,0.3719,-1266.45,2.4186,27.7837,0.66
2023-01-02,North America,Electronics,10914,0.0367,400,225.88,90351.94,6343.32,0.109,9850.41,80501.53,0.3737,23738.1,14.2436,15.8583,0.66
2023-01-02,North America,Health & Beauty,6176,0.0239,147,63.03,9264.81,4485.46,0.0863,799.97,8464.83,0.382,-1251.65,2.0655,30.5133,0.66
2023-01-02,North America,Home & Garden,6894,0.0284,195,85.3,16633.56,5137.82,0.0897,1491.89,15141.67,0.4148,1142.84,3.2375,26.3478,0.66
2023-01-02,North America,Sports & Outdoors,6518,0.0366,238,92.83,22092.58,4358.46,0.0972,2148.33,19944.25,0.3739,3097.84,5.0689,18.3129,0.66
2023-01-09,Asia Pacific,Apparel,4264,0.037,157,71.25,11185.9,2915.95,0.0969,1084.44,10101.46,0.3988,1112.79,3.8361,18.573,0.66
2023-01-09,Asia Pacific,Electronics,5857,0.0323,188,233.76,43946.84,4563.44,0.1171,5144.03,38802.81,0.3784,10120.17,9.6302,24.2736,0.66
2023-01-09,Asia Pacific,Health & Beauty,3728,0.0348,129,63.84,8235.81,2468.61,0.0978,805.79,7430.03,0.3543,163.53,3.3362,19.1365,0.66
2023-01-09,Asia Pacific,Home & Garden,4349,0.0313,136,90.27,12276.58,2811.83,0.0935,1147.55,11129.02,0.3499,1082.68,4.3661,20.6752,0.66
2023-01-09,Asia Pacific,Sports & Outdoors,3642,0.0342,124,87.96,10907.13,2396.89,0.09,981.49,9925.63,0.3711,1286.99,4.5505,19.3298,0.66
2023-01-09,Europe,Apparel,5670,0.0335,190,76.13,14464.93,3762.12,0.1174,1697.57,12767.35,0.3985,1325.59,3.8449,19.8006,0.66
2023-01-09,Europe,Electronics,7027,0.0383,269,255.44,68714.36,5763.71,0.1238,8505.3,60209.06,0.3762,16887.84,11.9219,21.4264,0.66
2023-01-09,Europe,Health & Beauty,3688,0.0404,148,62.11,9192.48,2821.77,0.0825,758.64,8433.84,0.3698,296.99,3.2577,19.066,0.66
2023-01-09,Europe,Home & Garden,4934,0.0351,172,81.8,14069.34,4147.53,0.0915,1286.77,12782.57,0.4056,1037.32,3.3922,24.1136,0.66
2023-01-09,Europe,Sports & Outdoors,4865,0.0338,164,89.55,14685.69,3025.72,0.0751,1103.03,13582.67,0.3938,2323.64,4.8536,18.4495,0.66
2023-01-09,Latin America,Apparel,2532,0.0365,92,70.91,6523.38,1732.17,0.106,691.78,5831.6,0.3884,532.59,3.766,18.8279,0.66
2023-01-09,Latin America,Electronics,3514,0.0454,159,229.92,36556.85,2797.22,0.1011,3695.85,32861.0,0.3826,9776.19,13.069,17.5925,0.66
2023-01-09,Latin America,Health & Beauty,1689,0.0206,34,63.18,2147.97,1467.04,0.0972,208.73,1939.24,0.3665,-756.4,1.4642,43.1483,0.66
2023-01-09,Latin America,Home & Garden,2592,0.0278,71,88.07,6252.9,1716.88,0.1011,631.92,5620.99,0.3864,454.94,3.642,24.1815,0.66
2023-01-09,Latin America,Sports & Outdoors,2263,0.0379,85,84.53,7185.25,1434.12,0.086,617.82,6567.43,0.3814,1070.66,5.0102,16.872,0.66
2023-01-09,North America,Apparel,6023,0.0304,183,73.52,13454.8,4953.11,0.0991,1333.27,12121.52,0.3916,-206.43,2.7164,27.0662,0.66
2023-01-09,North America,Electronics,10282,0.0277,285,253.62,72281.16,7860.24,0.1085,7844.55,64436.61,0.4025,18078.38,9.1958,27.5798,0.66
2023-01-09,North America,Health & Beauty,4653,0.0333,155,58.64,9089.86,4005.4,0.0775,704.56,8385.3,0.3909,-727.94,2.2694,25.8413,0.66
2023-01-09,North America,Home & Garden,6472,0.037,239,87.84,20993.99,5147.97,0.0864,1814.36,19179.63,0.379,2121.28,4.0781,21.5396,0.66
